mode,w,maxd,mind,rhi,vol,rs,base,add,adds,avg_ret,avg_bh,avg_excess,median_excess,min_excess,hit20,hit0,avg_exp,avg_trades,avg_dd,worst,amd_ret,amd_bh,amd_excess,score
any,1,0.16,0,70,False,any,0.5,0.25,2,0.32444841338593783,6.735986927741385,-6.411538514355447,-3.157894298329028,-15.158905337873318,0.0,0.0,0.3435496794871795,35.125,-0.20566518852638993,-0.16754706280286452,0.057561376619400306,2.734703320191721,-2.6771419435723205,-8.0383967709818
any,3,0.12,0,70,False,any,1.0,0.0,0,0.32492494839067976,6.735986927741385,-6.4110619793507055,-3.153181352160847,-15.038623513972032,0.0,0.0,0.3431490384615385,35.25,-0.2160515195397933,-0.16124390175272335,-0.07787527706781883,2.734703320191721,-2.81257859725954,-8.039758359400892
any,3,0.12,0,70,False,any,0.5,0.25,2,0.3239550047558627,6.735986927741385,-6.412031922985522,-3.159867932849328,-15.158905337873318,0.0,0.0,0.34334935897435903,35.125,-0.2059095627567465,-0.16754706280286452,0.057561376619400306,2.734703320191721,-2.6771419435723205,-8.03999477861545
ema_or_high,3,0.16,0,70,False,any,0.5,0.25,2,0.3224518781304625,6.735986927741385,-6.413535049610923,-3.1609555325013425,-15.158905337873318,0.0,0.0,0.3431490384615385,35.125,-0.20650237960538684,-0.16754706280286452,0.057561376619400306,2.734703320191721,-2.6771419435723205,-8.042298863857596
any,3,0.16,0,70,False,any,0.33,0.33,2,0.3179265909311143,6.735986927741385,-6.418060336810271,-3.164604817073713,-15.198719663694463,0.0,0.0,0.343349358974359,35.125,-0.2021516743515535,-0.1706635795989242,0.07864310421366616,2.734703320191721,-2.6560602159780546,-8.046888479190313
any,1,0.16,0,70,False,any,0.33,0.33,2,0.3179265909311143,6.735986927741385,-6.418060336810271,-3.164604817073713,-15.198719663694463,0.0,0.0,0.343349358974359,35.125,-0.2021516743515535,-0.1706635795989242,0.07864310421366616,2.734703320191721,-2.6560602159780546,-8.046888479190313
ema_or_high,3,0.16,0,70,False,any,0.33,0.33,2,0.31649938958192814,6.735986927741385,-6.419487538159457,-3.166513969706517,-15.198719663694463,0.0,0.0,0.34294871794871795,35.125,-0.20280080577600496,-0.1706635795989242,0.07864310421366616,2.734703320191721,-2.6560602159780546,-8.049569973528246
any,3,0.12,0,70,False,any,0.33,0.33,2,0.31538304002956474,6.735986927741385,-6.42060388771182,-3.174779020679911,-15.198719663694463,0.0,0.0,0.3431490384615385,35.125,-0.20340317766017618,-0.1706635795989242,0.07864310421366616,2.734703320191721,-2.6560602159780546,-8.055039765269692
any,3,0.16,0,70,False,any,1.0,0.0,0,0.3192808858762706,6.735986927741385,-6.4167060418651145,-3.1757576022184835,-15.038623513972032,0.0,0.0,0.343349358974359,35.25,-0.218953849045694,-0.16124390175272335,-0.07787527706781883,2.734703320191721,-2.81257859725954,-8.057831446695198
any,1,0.16,0,70,False,any,1.0,0.0,0,0.3192808858762706,6.735986927741385,-6.4167060418651145,-3.1757576022184835,-15.038623513972032,0.0,0.0,0.343349358974359,35.25,-0.218953849045694,-0.16124390175272335,-0.07787527706781883,2.734703320191721,-2.81257859725954,-8.057831446695198
ema_or_high,3,0.16,0,70,False,any,1.0,0.0,0,0.3156958864703897,6.735986927741385,-6.420291041270995,-3.1757576022184835,-15.038623513972032,0.0,0.0,0.34294871794871795,35.25,-0.21953735641618047,-0.16124390175272335,-0.07787527706781883,2.734703320191721,-2.81257859725954,-8.061689913151838
prev_or_high,3,0.16,0,70,False,any,0.33,0.33,2,0.29709502660981274,6.735986927741385,-6.438891901131573,-3.1730819392692173,-15.16733141769238,0.0,0.0,0.3235176282051282,34.25,-0.19330281367144478,-0.1706635795989241,0.07148981591104087,2.734703320191721,-2.66321350428068,-8.070402233414246
